filename,rms,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,label
New_AS_001.wav,0.1510380059480667,-396.0419921875,102.59673309326172,60.768348693847656,43.3507194519043,31.317718505859375,15.11019515991211,10.741217613220215,11.311574935913086,5.674283981323242,2.837270975112915,3.62467885017395,0.9027045369148254,-0.894656240940094,-0.047813963145017624,-1.4407380819320679,-2.5110292434692383,-1.19481360912323,-1.336147665977478,-2.313967227935791,-2.061920642852783,-2.3893537521362305,-3.1540796756744385,-3.1398725509643555,-3.255657911300659,-3.50972318649292,-3.864494562149048,-4.742833614349365,-4.609274387359619,-3.42169451713562,-3.3379909992218018,-3.7495386600494385,-3.492602825164795,-3.600421667098999,-3.570765972137451,-2.524446964263916,-1.9394491910934448,-2.021299362182617,-1.6122699975967407,-1.4515032768249512,AS
New_AS_002.wav,0.1512194722890854,-393.8596496582031,103.15070343017578,56.89033889770508,42.11770248413086,32.66474533081055,15.694666862487793,10.947486877441406,10.999838829040527,4.3187336921691895,2.3416240215301514,4.63456392288208,1.9007607698440552,-0.5470784902572632,-0.2615063786506653,-1.8454310894012451,-2.4912827014923096,-1.0282995700836182,-1.2593883275985718,-1.9074856042861938,-1.7262041568756104,-2.475583553314209,-3.1184182167053223,-3.2273499965667725,-3.8805437088012695,-3.977055072784424,-3.9342405796051025,-4.774628162384033,-4.439967155456543,-3.180893659591675,-3.321476459503174,-3.622621774673462,-3.4095704555511475,-4.131163597106934,-4.411778450012207,-3.2677063941955566,-2.697658061981201,-2.716460943222046,-2.180110216140747,-1.9731769561767578,AS
New_AS_003.wav,0.1504136621952057,-397.2728271484375,104.66249084472656,57.6984748840332,42.84110641479492,32.695594787597656,15.198274612426758,11.076295852661133,11.581809043884277,4.863282680511475,3.067552328109741,4.866861820220947,1.1251239776611328,-0.9467746615409851,0.4693441092967987,-1.3007076978683472,-2.8192806243896484,-1.4449299573898315,-1.3375836610794067,-1.7994707822799683,-1.601246953010559,-2.6350083351135254,-3.429166316986084,-3.117565631866455,-3.6595406532287598,-4.276106834411621,-4.05571174621582,-4.118158340454102,-4.150308132171631,-3.996595859527588,-4.215798854827881,-3.920123815536499,-3.3348746299743652,-3.454411268234253,-3.152451992034912,-2.3103713989257812,-2.3134708404541016,-2.3839879035949707,-1.7553155422210693,-1.4784830808639526,AS
New_AS_004.wav,0.15078772604465485,-396.585693359375,103.16122436523438,57.89284896850586,42.99728775024414,32.933929443359375,15.878225326538086,11.310263633728027,11.36853313446045,4.690406322479248,2.574876070022583,4.174921989440918,0.7798663377761841,-1.2638881206512451,-0.03892524167895317,-1.5421861410140991,-2.6977903842926025,-1.1753877401351929,-1.0014338493347168,-1.5208436250686646,-1.3622896671295166,-2.454251766204834,-3.6153640747070312,-3.495631217956543,-3.7307181358337402,-4.275068283081055,-4.228553771972656,-4.035867214202881,-3.880295753479004,-4.067172050476074,-4.395357608795166,-3.803739070892334,-3.1322309970855713,-3.3790526390075684,-3.297994375228882,-2.739366054534912,-2.6979267597198486,-2.614757776260376,-2.2115962505340576,-1.9734485149383545,AS
New_AS_005.wav,0.14834947884082794,-399.2195739746094,103.85208129882812,58.29898452758789,43.281349182128906,32.34963607788086,14.706385612487793,11.285482406616211,12.58376407623291,5.590585231781006,2.9167680740356445,4.39952278137207,0.5312041640281677,-1.6655418872833252,0.08666490018367767,-1.4491076469421387,-2.810516595840454,-0.8498867750167847,-1.0426145792007446,-2.8556246757507324,-2.7348997592926025,-2.67505145072937,-3.2703628540039062,-3.2079906463623047,-3.472808599472046,-4.0400896072387695,-4.189731121063232,-4.513515472412109,-4.6330060958862305,-4.258320331573486,-4.1721720695495605,-3.9629764556884766,-3.4027347564697266,-3.294645071029663,-3.180889129638672,-2.652207612991333,-2.457017183303833,-2.4216413497924805,-2.2101337909698486,-2.277564764022827,AS
New_AS_006.wav,0.14896541833877563,-398.37213134765625,103.83267974853516,56.528404235839844,42.559417724609375,32.88908767700195,15.118072509765625,11.292080879211426,12.253769874572754,5.095120906829834,2.5707669258117676,4.11883544921875,0.5098979473114014,-1.115858793258667,0.667549729347229,-1.3564144372940063,-3.037069082260132,-1.0069630146026611,-0.6299904584884644,-2.078591823577881,-2.5664491653442383,-2.9790875911712646,-3.257225275039673,-3.278653860092163,-3.9299135208129883,-4.1923627853393555,-3.9459879398345947,-4.2283806800842285,-4.215223789215088,-3.904752492904663,-4.145472049713135,-3.96665620803833,-3.4212303161621094,-3.6131954193115234,-3.6436381340026855,-3.092059850692749,-2.890028953552246,-2.615004301071167,-1.9674476385116577,-1.727500081062317,AS
New_AS_007.wav,0.1491008847951889,-397.0811462402344,102.60594940185547,59.48870086669922,43.30907440185547,31.855371475219727,15.335016250610352,11.29782485961914,11.529084205627441,5.17902946472168,2.8763349056243896,4.162637233734131,1.012831449508667,-0.9532155394554138,-0.04444326460361481,-1.7554975748062134,-3.080653429031372,-1.511002540588379,-0.9086644649505615,-1.339226245880127,-1.5638659000396729,-2.77644944190979,-3.693362236022949,-3.332609176635742,-3.5627238750457764,-4.332893371582031,-4.269235134124756,-3.7500970363616943,-3.4939022064208984,-3.62736439704895,-3.8569412231445312,-3.87001371383667,-3.9449048042297363,-3.7170515060424805,-2.7276535034179688,-2.2496416568756104,-2.667344570159912,-2.4719645977020264,-1.8656654357910156,-1.985101580619812,AS
New_AS_008.wav,0.15207044780254364,-395.9864807128906,104.34272003173828,58.99384307861328,42.50961685180664,32.0203742980957,15.879631042480469,11.56427001953125,11.499298095703125,4.966036319732666,2.6230714321136475,3.905601978302002,0.7594252228736877,-0.9382038712501526,0.27152830362319946,-1.373747706413269,-2.5095489025115967,-0.978383481502533,-1.2875330448150635,-2.5364670753479004,-2.514620065689087,-3.1478495597839355,-3.819674015045166,-3.3574459552764893,-3.4059066772460938,-3.87355375289917,-3.964972972869873,-4.232228755950928,-4.047910213470459,-3.4444003105163574,-3.756056547164917,-4.078049659729004,-3.415898561477661,-2.9718832969665527,-2.952094554901123,-2.6857991218566895,-2.5016822814941406,-2.2915585041046143,-1.882744550704956,-1.9172112941741943,AS
New_AS_009.wav,0.14925064146518707,-398.1452941894531,104.6888656616211,58.21696472167969,43.26103210449219,33.062843322753906,15.36073112487793,10.93477725982666,11.647791862487793,4.840475559234619,2.2570977210998535,3.8846659660339355,0.6808880567550659,-1.2412943840026855,0.054123058915138245,-1.55885910987854,-2.586113929748535,-0.5835391879081726,-0.49474039673805237,-1.7910383939743042,-2.0277066230773926,-2.725353479385376,-3.3660106658935547,-3.298947334289551,-3.9338295459747314,-4.4028215408325195,-4.2286529541015625,-4.700896739959717,-4.740149974822998,-3.771331787109375,-3.5033156871795654,-3.547426700592041,-3.1113266944885254,-3.270256996154785,-3.4185075759887695,-2.479649305343628,-1.9295138120651245,-2.4270241260528564,-2.546081781387329,-2.1271450519561768,AS
New_AS_010.wav,0.15040436387062073,-397.86981201171875,105.24446105957031,58.687171936035156,43.01813888549805,32.383506774902344,15.129016876220703,11.143482208251953,11.919609069824219,5.4760589599609375,3.209073781967163,4.435408592224121,0.721340537071228,-1.2870320081710815,0.1376146674156189,-1.393010139465332,-2.835728168487549,-1.465021014213562,-1.1112573146820068,-1.6455681324005127,-1.8026620149612427,-2.6265125274658203,-3.1442081928253174,-3.326866865158081,-4.270434856414795,-4.497440814971924,-4.01344633102417,-4.375835418701172,-4.4191203117370605,-3.7555322647094727,-3.720902681350708,-3.6046407222747803,-3.127323865890503,-3.4005091190338135,-3.5589945316314697,-2.8292386531829834,-2.3370158672332764,-2.306823492050171,-2.3036463260650635,-2.436621904373169,AS
